criteria;s;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w;c;w;p;s;w
JM;3;2;1;2;2;95;2;1;2;2;90;1;1;2;2;90;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;1;1;2;2;90;2;2;2;2;100;2;2;2;2;100;2;2;2;2;95;2;2;2;2;90;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
VE;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;0;0;0;0;0;2;2;2;2;100;2;2;1;2;100;0;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
GR;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
MA;3;2;2;2;2;100;2;1;2;2;100;2;2;2;2;100;2;2, 1;2;2;100;2;2;2;2;100;1, 0;1, 0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2, 1;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2, 1;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
ES;3;2;2;2;2;100;2, 1;1;2;2;100;2;2;2;2;100;2;1, 0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2, 1;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
GU;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
LU;5;4;4;4;4;100;4;3;4;4;80;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;3;4;4;80;4;4;4;4;100;4;3;4;4;80;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;3, 4;4;4;90;4;3;4;4;80;4;3, 4;4;4;90;4;3, 4;4;4;90;4;3, 4;4;4;90;4;3, 4;4;4;90;4;3, 4;4;4;90;4;3, 4;4;4;90;4;3, 4;4;4;90;4;3, 4;4;4;90
GL;5;4;4;4;4;100;4;4;4;4;100;3;3;3;3;90;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;1;90;4;4;4;1;90;4;4;4;1;90;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100
VA;5;4;4;4;3;90;4;3;4;3;100;4;3;4;3;100;4;3;4;3;50;4;4;4;3;90;1;3;1;3;10;4;4;1;3;10;4;4;4;3;70;4;3;4;3;100;4;4;4;3;80;3;4;4;3;80;4;4;4;3;90;4;4;3;3;100;2;4;4;4;100;4;3;4;3;100;4;3;3, 4;3;80;4;3;4;3;100;4;4;4;3;100;4;4;4;3;100;4;4;4;3;90;4;4;4;3;80;4;3;4;3;90;4;4;4;3;90;3;3;4;3;90
AN;5;3;4;3;4;50;4;4;4;4;100;4;4;4;4;100;4;3;4;4;90;4;4;4;4;60;4;4;4;4;100;3;4;4;4;80;4;4;4;4;100;4;4;4;4;100;3;3;4;4;90;3;3;4;4;80;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;1, 4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100