Agregation;;;;;;
Item;Clarity;Writing;Presence;Scale;Score;Relevance
I1;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I2;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I3;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I4;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I5;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I6;(Parcialmente de acuerdo, -0.21);(Parcialmente de acuerdo, -0.21);(Bastante de acuerdo, -0.1);(Totalmente de acuerdo ,0);(Bastante de acuerdo, -0.38);63.2
I7;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I8;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I9;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I10;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I11;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I12;(Totalmente de acuerdo ,0);(Parcialmente de acuerdo, -0.21);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Bastante de acuerdo, 0.45);100
I13;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I14;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I15;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I16;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I17;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I18;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I19;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I20;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I21;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I22;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100
I23;(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);(Totalmente de acuerdo ,0);100